product_id,Overall Rating,Description Word Count
SKU: #7294223,5,142
7632972,5,142
7525603,5,142
7656060,5,142
7630065,5,142
7630065,5,142
7310667,5,142
7310667,5,142
SKU: #7680191,5,142
7460247,5,142
7599376,5,142
7610153,5,142
7304493,5,142
109117,5,142
109117,5,142
7704053,4,142
104730,4,142
7654311,4,142
7294835,4,142
7277727,4,142
7313846,4,142
7376689,4,142
7376689,4,142
7630065,2,142
SKU: #7602504,5,141
104730,5,141
7561724,5,141
7655277,5,141
SKU: #7180467,5,141
SKU: #7702074,5,141
SKU: #7330262,5,141
7202262,5,141
SKU: #7330262,5,141
7467000,5,141
SKU: #7823412,5,141
SKU: #7811373,5,141
SKU: #7671168,5,141
7166071,5,141
SKU: #7773554,5,141
7630065,5,141
SKU: #7823412,5,141
SKU: #7289975,5,141
SKU: #7289975,5,141
SKU: #7757014,5,141
SKU: #7761531,5,141
SKU: #7592128,4,141
7490059,4,141
SKU: #7795437,4,141
7762946,4,141
SKU: #7648111,3,141
7166071,3,141
SKU: #7681251,1,141
104730,5,140
7201307,5,140
7201307,5,140
7655277,5,140
7655277,5,140
7553765,5,140
7330262,5,140
7467000,5,140
SKU: #7479547,5,140
7490059,5,140
7490059,5,140
SKU: #7561556,5,140
SKU: #7327843,5,140
SKU: #7755818,5,140
SKU: #7327843,5,140
7899457,5,140
SKU: #7591476,5,140
SKU: #7327843,5,140
7600107,5,140
7568868,5,140
113595,5,140
7244112,5,140
SKU: #7149932,5,140
SKU: #109117,5,140
7158517,5,140
SKU: #7676301,4,140
7670950,4,140
SKU: #7676758,4,140
SKU: #7676758,4,140
SKU: #7676758,4,140
SKU: #7676758,4,140
SKU: #7675942,4,140
SKU: #7676758,4,140
7600107,4,140
113595,4,140
7376689,4,140
SKU: #7696128,3,140
SKU: #7696128,3,140
SKU: #7605033,3,140
7498392,3,140
SKU: #7668457,5,139
SKU: #7668457,5,139
SKU: #7619266,5,139
7201307,5,139
SKU: #7605321,5,139
7528130,5,139
7443522,5,139
7528130,5,139
SKU: #7416799,5,139
SKU: #7622863,5,139
SKU: #7689104,5,139
7759102,5,139
7490059,5,139
SKU: #7482069,5,139
7600121,5,139
7605033,5,139
7630065,5,139
7591476,5,139
7814541,5,139
SKU: #7639858,5,139
7568158,5,139
7201307,4,139
7626619,4,139
SKU: #7739232,4,139
7749078,4,139
SKU: #7720226,3,139
109117,3,139
SKU: #7579133,5,138
7712751,5,138
104730,5,138
7712751,5,138
104730,5,138
SKU: #7561015,5,138
SKU: #7343998,5,138
7202262,5,138
7202262,5,138
7467000,5,138
SKU: #7562436,5,138
SKU: #7777410,5,138
SKU: #7777410,5,138
SKU: #7784284,5,138
7334545,5,138
7490059,5,138
SKU: #7728004,5,138
7630065,5,138
SKU: #7637544,5,138
7630065,5,138
7599376,5,138
SKU: #7217113,5,138
SKU: #7637544,5,138
109117,5,138
7166039,5,138
SKU: #7696960,4,138
7490059,4,138
7174444,4,138
SKU: #7670146,5,137
SKU: #7668457,5,137
SKU: #7668457,5,137
SKU: #7667981,5,137
SKU: #7670146,5,137
7438340,5,137
7626619,5,137
SKU: #7192722,5,137
7602504,5,137
SKU: #7667981,5,137
SKU: #7202262,5,137
7504013,5,137
7655277,5,137
SKU: #7670146,5,137
7605033,5,137
SKU: #7610552,5,137
SKU: #7597642,5,137
7630065,5,137
7630065,5,137
SKU: #7335891,5,137
7244112,5,137
SKU: #7335891,5,137
109117,5,137
SKU: #7654778,4,137
SKU: #7720226,4,137
7438340,4,137
7655277,4,137
7416799,4,137
SKU: #7747098,4,137
7656060,4,137
SKU: #7438340,3,137
SKU: #7438340,3,137
7535068,1,137
SKU: #7545845,5,136
SKU: #7201307,5,136
7248789,5,136
SKU: #7792015,5,136
7443522,5,136
7439111,5,136
7697167,5,136
7330262,5,136
7561556,5,136
SKU: #7626180,5,136
7166071,5,136
7294835,5,136
7630065,5,136
7294254,5,136
7244112,5,136
7149932,5,136
109117,5,136
7644151,5,136
7626619,4,136
7630065,4,136
7600107,4,136
7655373,3,136
SKU: #7642004,2,136
7644151,2,136
SKU: #7650437,1,136
SKU: #7642004,5,135
SKU: #7438340,5,135
SKU: #7580049,5,135
7201307,5,135
7642029,5,135
7443522,5,135
7655266,5,135
SKU: #7438340,5,135
SKU: #7702074,5,135
SKU: #7779747,5,135
7416799,5,135
7334545,5,135
SKU: #7482069,5,135
SKU: #7183714,5,135
7583016,5,135
SKU: #7407694,5,135
7630065,5,135
SKU: #7637544,5,135
SKU: #7637544,5,135
SKU: #7624026,5,135
7280540,4,135
SKU: #7690528,4,135
SKU: #7670950,4,135
SKU: #7728004,4,135
7166071,4,135
7166071,4,135
7130301,4,135
SKU: #7594511,4,135
7335596,3,135
7335596,3,135
7313325,3,135
7553055,1,135
7655373,1,135
SKU: #7433601,5,134
SKU: #7542747,5,134
SKU: #7792015,5,134
7439111,5,134
SKU: #118955,5,134
7202262,5,134
SKU: #7616455,5,134
7490059,5,134
7648411,5,134
7644648,5,134
SKU: #7656060,5,134
SKU: #7598804,5,134
SKU: #7598804,5,134
SKU: #7598804,5,134
SKU: #7792036,5,134
7610028,5,134
109117,5,134
7166039,5,134
7644151,5,134
SKU: #7792036,5,134
104730,4,134
SKU: #7727593,4,134
104730,4,134
7330262,4,134
7335596,4,134
7174444,4,134
SKU: #7290661,3,134
7562436,2,134
SKU: #7670146,5,133
7542607,5,133
7542607,5,133
SKU: #7670146,5,133
7626619,5,133
7545845,5,133
SKU: #7638335,5,133
7192722,5,133
7192722,5,133
SKU: #7670146,5,133
7330262,5,133
SKU: #7628901,5,133
SKU: #7628901,5,133
SKU: #7687197,5,133
SKU: #7179711,5,133
7755792,5,133
7294835,5,133
7294835,5,133
7135562,5,133
SKU: #7600107,5,133
SKU: #7383233,5,133
SKU: #7257607,5,133
7205343,5,133
SKU: #7734372,5,133
7620366,4,133
118955,4,133
SKU: #7855514,4,133
SKU: #7861510,4,133
7676758,4,133
7598804,4,133
7631594,4,133
109117,2,133
104730,1,133
SKU: #7649885,5,132
7816554,5,132
7816554,5,132
104730,5,132
104730,5,132
7201307,5,132
104730,5,132
104730,5,132
7201307,5,132
SKU: #7423619,5,132
7654311,5,132
